iter	Passed	Remaining
0	1	164
1	3	149
2	4	139
3	5	132
4	6	132
5	8	129
6	9	128
7	11	127
8	12	127
9	13	124
10	15	126
11	17	128
12	18	125
13	20	123
14	21	121
15	22	118
16	23	117
17	25	117
18	27	117
19	29	116
20	30	114
21	31	111
22	33	110
23	34	108
24	35	106
25	36	104
26	37	102
27	39	101
28	40	100
29	43	100
30	44	99
31	45	97
32	47	95
33	48	94
34	49	92
35	50	90
36	52	88
37	53	87
38	54	85
39	56	84
40	57	83
41	59	81
42	60	80
43	61	78
44	62	76
45	64	75
46	65	73
47	66	72
48	68	70
49	69	69
50	70	68
51	72	66
52	73	65
53	74	63
54	75	62
55	77	60
56	78	59
57	79	57
58	81	56
59	82	54
60	83	53
61	84	52
62	86	50
63	87	49
64	88	47
65	90	46
66	91	44
67	92	43
68	93	42
69	94	40
70	96	39
71	97	37
72	99	36
73	100	35
74	101	33
75	102	32
76	104	31
77	105	29
78	106	28
79	107	26
80	108	25
81	110	24
82	111	22
83	112	21
84	113	20
85	115	18
86	116	17
87	117	16
88	119	14
89	120	13
90	121	12
91	123	10
92	124	9
93	125	8
94	126	6
95	128	5
96	129	3
97	130	2
98	131	1
99	133	0
